index,ph,soil_type,previous_crop,area_ha,weather,month,district
1,6.21,red,Brinjal,2.82,1034mm/33.7C,Sep,Solapur
2,7.77,loam,Brinjal,1.18,929mm/21.0C,Jun,Osmana bad
3,7.18,red,Spinach,1.6,685mm/22.2C,Oct,Yavatmal
4,6.82,alluvial,Radish,3.79,909mm/23.3C,Feb,Nashik
5,5.62,clay,Cauliflower,2.52,825mm/27.0C,Nov,Chandrapur
6,5.62,alluvial,Spinach,1.24,1021mm/23.3C,Sep,Beed
7,5.36,clay,Bitter Gourd,4.84,1019mm/23.7C,Jun,Kolhapur
8,7.54,black,Pumpkin,3.63,814mm/22.6C,May,Wardha
9,6.82,sandy,Fenugreek Leaves,4.79,1191mm/15.8C,May,Gondia
10,7.11,alluvial,Beans,2.25,1169mm/25.2C,Dec,Osmana bad
11,5.26,red,Cauliflower,2.48,112mm/33.7C,Mar,Osmana bad
12,7.82,black,Green Chilies,4.51,637mm/21.5C,Jun,Nagpur
13,7.45,sandy,Pumpkin,2.72,904mm/21.1C,Apr,Gadchiroli
14,5.77,red,Bottle Gourd,3.59,1158mm/15.8C,Dec,Aurangabad
15,5.69,loam,Green Peas,1.41,351mm/22.4C,Oct,Latur
16,5.7,red,Spring Onion,2.34,707mm/31.0C,Feb,Nagpur
17,6.02,clay,Radish,0.79,784mm/19.8C,Mar,Satara
18,6.62,clay,Coriander,1.19,389mm/33.6C,Sep,Pune
19,6.37,loam,Green Chilies,0.2,574mm/28.3C,Nov,Ahmednagar
20,5.99,black,Carrot,0.39,658mm/29.1C,Nov,Beed
21,6.85,sandy,Ladyfinger,4.89,702mm/19.7C,Sep,Latur
22,5.58,red,Green Peas,1.36,874mm/22.8C,Jun,Hingoli
23,5.99,clay,Cauliflower,3.38,212mm/30.3C,Oct,Pune
24,6.19,black,Cucumber,4.23,136mm/22.7C,Oct,Nagpur
25,6.43,loam,Radish,2.84,350mm/25.7C,Sep,Nashik
26,7.32,alluvial,Pumpkin,0.94,948mm/17.0C,Apr,Sangli
27,5.74,clay,Coriander,3.69,408mm/31.1C,Nov,Kolhapur
28,6.59,loam,Fenugreek Leaves,3.08,1001mm/18.8C,May,Latur
29,6.8,red,Cabbage,3.71,358mm/15.4C,Oct,Latur
30,5.33,sandy,Green Chilies,3.89,88mm/33.1C,Jun,Parbhani
31,6.84,clay,Cabbage,4.88,1002mm/22.1C,Sep,Yavatmal
32,5.66,clay,Ladyfinger,2.95,1155mm/19.6C,May,Gondia
33,5.38,red,Cabbage,1.84,1154mm/30.9C,Aug,Gondia
34,7.76,alluvial,Bottle Gourd,3.31,700mm/16.5C,Nov,Pune
35,7.81,black,Brinjal,0.53,275mm/22.7C,Jan,Nashik
36,7.38,sandy,Pumpkin,4.51,227mm/27.7C,May,Kolhapur
37,6.02,clay,Beans,0.77,443mm/32.3C,Oct,Amravati
38,5.46,sandy,Beans,1.77,481mm/34.9C,Jan,Satara
39,7.05,clay,Beans,4.12,308mm/32.3C,Oct,Amravati
40,6.39,sandy,Bottle Gourd,3.07,616mm/30.7C,Jun,Sangli
41,5.53,loam,Spinach,2.09,1114mm/27.9C,Jul,Ahmednagar
42,6.54,clay,Ladyfinger,2.47,205mm/33.7C,Dec,Amravati
43,5.29,sandy,Cabbage,4.3,1192mm/28.8C,May,Satara
44,7.66,black,Ladyfinger,1.83,768mm/30.9C,Jan,Gondia
45,5.9,loam,Brinjal,4.37,360mm/24.0C,Jun,Solapur
46,6.99,loam,Bitter Gourd,0.62,916mm/25.5C,Oct,Solapur
47,6.04,black,Pumpkin,3.93,226mm/24.7C,May,Buldhana
48,6.6,sandy,Radish,4.27,709mm/24.3C,Jun,Solapur
49,6.68,red,Spinach,1.07,223mm/31.1C,Nov,Gadchiroli
50,5.7,black,Beetroot,2.27,93mm/26.1C,Oct,Satara
